Title,Location,Latitude,Longitude
Big Eyes,Filbert St. & Leavenworth,37.800458,-122.416648
Big Eyes,Pine St. & Grant,37.791498,-122.405742
Big Eyes,Way Faire Inn on Leidsdorff,37.795219,-122.420782
Big Sur,"Tosca Café (242 Columbus Avenue, North Beach)",37.795219,-122.420782
Big Touble in Little China,,37.795219,-122.420782
Birdman of Alcatraz,Alcatraz Island,37.795219,-122.420782
Birdman of Alcatraz,Pier 43 1/2,37.794996,-122.394324
Blue Jasmine,The Ramp Restaurant,37.795219,-122.420782
Blue Jasmine,303-305 S. Van Ness,37.768339693878,-122.41779559184
Blue Jasmine,3563 20th St.,37.758551315789,-122.42040168421
Blue Jasmine,Taylor & Green St.,37.798888,-122.41393
Blue Jasmine,Grant & Washington St.,37.795144,-122.406476
Blue Jasmine,2934 24th St.,37.7529368,-122.4106225
Blue Jasmine,1138 Alabama St,37.7536458,-122.4113325
Blue Jasmine,2915 16th St.,37.7649293,-122.4179093
Blue Jasmine,Trolly Car from Market and 11th,37.795219,-122.420782
Blue Jasmine,Real Guitars,37.795219,-122.420782
Blue Jasmine,Aub Zam Zam Bar,37.795219,-122.420782
Blue Jasmine,790 Ulloa ,37.740661122449,-122.46485012245
Blue Jasmine,SFO International Airport Terminal 3,37.795219,-122.420782
Blue Jasmine,2178 Palou Ave.,37.7407325,-122.4017283
Blue Jasmine,South Park,37.768889,-122.388354
Blue Jasmine,Jones & Pacific,37.793852,-122.414596
Blue Jasmine,Pacific & Divisadero,37.792511,-122.441333
Blue Jasmine,Lombard & Hyde,37.801995,-122.419614
Blue Jasmine,5546 Geary Ave,37.780608,-122.4791525
Blue Jasmine,2898 Broadway,37.7933353,-122.4447098
Blue Jasmine,Motel Capri,37.795219,-122.420782
Blue Jasmine,Marina Green,37.806498,-122.4361
Blue Jasmine,Ocean Beach at Lincoln,37.726785,-122.466073
Blue Jasmine,Heald College,37.795219,-122.420782
Blue Jasmine,Marina Blvd from Leguna to Baker,37.806402,-122.437461
Blue Jasmine,330 Santa Clara Ave.,37.7342094,-122.4664987
Blue Jasmine,200 Post St. ,37.7889323,-122.4055127
Blue Jasmine,2179 48th Ave,37.7455528,-122.5072581
Boys and Girls,1122 Folsom Street,37.776392,-122.4086856
Boys and Girls,Golden Gate Bridge,37.810977,-122.477578
Boys and Girls,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",37.795219,-122.420782
Boys and Girls,628 Cole Street,37.7691683,-122.4503029
Boys and Girls,Alcatraz Island,37.795219,-122.420782
Boys and Girls,Aquatic Park (Jefferson Street),37.795219,-122.420782
Boys and Girls,Chinatown,37.794993,-122.40767
Boys and Girls,Lombard Street,37.802201,-122.417966
Boys and Girls,City Hall,37.795219,-122.420782
Boys and Girls,Coit Tower,37.795219,-122.420782
Boys and Girls,Ferry Building,37.795219,-122.420782
Boys and Girls,Fisherman's Wharf,37.808966,-122.415843
Broken-A Modern Love Story ,Ina Coolbrith Park (1700 Taylor Street),37.724083,-122.423983
Broken-A Modern Love Story ,0-100 block Halleck Street,37.795219,-122.420782
Bullitt,Café Cantata (2040 Union Street),37.795219,-122.420782
Bullitt,Bayshore Blvd near Cesar Chavez (Bayview),37.725516,-122.401471
Bullitt,Taylor & Vallejo Streets (Russian Hill),37.797957,-122.413744
Bullitt,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",37.795219,-122.420782
Bullitt,McClaren Park (Vistacon Valley),37.795219,-122.420782
Bullitt,Mark Hopkins Hotel (999 California Street),37.790199,-122.404671
Bullitt,Marina Green (Marina District),37.805368,-122.44565
Bullitt,Mansell & University Streets (Vistacon Valley),37.719074,-122.41099
Bullitt,Larkin & Francisco Streets (Russian Hill),37.803546,-122.42183
Bullitt,Larkin & Chestnut Streets (Russian Hill),37.802695,-122.42148
Bullitt,Kennedy Hotel (226 Embarcadero at Howard Street),37.795219,-122.420782
Bullitt,John Muir Drive (Lake Merced),37.708232,-122.486042
Bullitt,Intersection of York & Peralta (Bernal Heights),37.795219,-122.420782
Bullitt,Filbert & Taylor Streets (Russian Hill),37.800757,-122.414303
Bullitt,Enrico's Café (504 Broadway),37.795219,-122.420782
Bullitt,Columbus & Lombard Streets (North Beach),37.802743,-122.413719
Bullitt,Cesar Chavez & Mission Street (Mission),37.748166,-122.418221
Bullitt,"Candlestick Park Exit, Highway 101",37.795219,-122.420782
